Link,Baslik,Fiyat (Metin),Fiyat (Sayisal),Konum,Listing No,Last Update Date,Listing status,Residence Type,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Loan Availability,Title Deed Status,Furnishing Status,Usage Status,Swap,Facade
https://www.hepsiemlak.com/en/izmir-buca-kurucesme-satilik/daire/159783-47,"55 Square Meters Apartment For Sale in Buca, Izmir",3.400.000 TRY,3400000.0,kurucesme,159783-47,18/10/2025,For Sale,Apartment,1 + 1,1.0,"55 m2 
/ 50 m2",5 Storey,4,1 at Age,Underfloor Heating,Available,Condominium,Not Furnished,Empty,No,
https://www.hepsiemlak.com/en/izmir-buca-efeler-satilik/daire/109159-583,"117 Square Meters Apartment For Sale in Buca, Izmir",2.800.000 TRY,2800000.0,efeler,109159-583,23/10/2025,For Sale,Apartment,3 + 1,1.0,"117 m2 
/ 90 m2",3 Storey,3,26 at Age,No Heating,Available,Floor Easement,Not Furnished,Empty,No,South
https://www.hepsiemlak.com/en/izmir-buca-menderes-satilik/daire/0-45466704,"213 Square Meters Apartment For Sale in Buca, Izmir",7.150.000 TRY,7150000.0,menderes,0-45466704,21/10/2025,For Sale,Apartment,3 + 1,1.0,"213 m2 
/ 185 m2",4 Storey,Raised Ground,35 at Age,Combi Boiler,Available,Condominium,Not Furnished,Owner,No,"North, South, West"
https://www.hepsiemlak.com/en/izmir-buca-murathan-satilik/mustakil-ev/52129-142,"120 Square Meters Detached House For Sale in Buca, Izmir",6.700.000 TRY,6700000.0,murathan,52129-142,15/10/2025,For Sale,Detached House,4 + 1,2.0,"120 m2 
/ 110 m2",2 Storey,,37 at Age,Combi Boiler,Available,Condominium,Not Furnished,Owner,No,"North, South, East, West"
https://www.hepsiemlak.com/en/izmir-buca-yildiz-satilik/daire/103185-412,"105 Square Meters Apartment For Sale in Buca, Izmir",6.100.000 TRY,6100000.0,yildiz,103185-412,22/09/2025,For Sale,Apartment,2 + 1,2.0,"105 m2 
/ 95 m2",10 Storey,Top,New Property,Combi Boiler,Available,Floor Easement,Not Furnished,Tenanted,No,South
https://www.hepsiemlak.com/en/izmir-buca-yenigun-satilik/daire/63598-259,"89 Square Meters Apartment For Sale in Buca, Izmir",3.200.000 TRY,3200000.0,yenigun,63598-259,23/10/2025,For Sale,Apartment,2 + 0,1.0,"89 m2 
/ 79 m2",3 Storey,Top,25 at Age,Combi Boiler,Available,Condominium,Not Furnished,Empty,No,West
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/158213-9,"67 Square Meters Apartment For Sale in Buca, Izmir",3.550.000 TRY,3550000.0,adatepe,158213-9,21/08/2025,For Sale,Apartment,2 + 0,1.0,"67 m2 
/ 65 m2",4 Storey,Top,1 at Age,Combi Boiler,Available,Condominium,Furnished,Empty,No,"North, South, East, West"
https://www.hepsiemlak.com/en/izmir-buca-menderes-satilik/daire/139799-968,"75 Square Meters Apartment For Sale in Buca, Izmir",3.195.000 TRY,3195000.0,menderes,139799-968,22/10/2025,For Sale,Apartment,2 + 1,1.0,"75 m2 
/ 65 m2",4 Storey,2,6 at Age,Combi Boiler,Available,Condominium,Furnished,Empty,No,
https://www.hepsiemlak.com/en/izmir-buca-camlik-satilik/daire/79799-117,"130 Square Meters Apartment For Sale in Buca, Izmir",7.150.000 TRY,7150000.0,camlik,79799-117,25/09/2025,For Sale,Apartment,3 + 1,2.0,"130 m2 
/ 120 m2",4 Storey,1,1 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Empty,No,South
https://www.hepsiemlak.com/en/izmir-buca-goksu-satilik/daire/152585-42,"97 Square Meters Apartment For Sale in Buca, Izmir",4.100.000 TRY,4100000.0,goksu,152585-42,11/10/2025,For Sale,Apartment,2 + 1,2.0,"97 m2 
/ 94 m2",4 Storey,Middle,New Property,Combi Boiler,Available,Floor Easement,Not Furnished,,,
