Fiyat (Metin),Fiyat (Sayisal),Konum,Last Update Date,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Title Deed Status,Furnishing Status,Usage Status
3.400.000 TRY,3400000.0,kurucesme,18/10/2025,1 + 1,1.0,"55 m2 
/ 50 m2",5 Storey,4,1 at Age,Underfloor Heating,Condominium,Not Furnished,Empty
2.800.000 TRY,2800000.0,efeler,23/10/2025,3 + 1,1.0,"117 m2 
/ 90 m2",3 Storey,3,26 at Age,No Heating,Floor Easement,Not Furnished,Empty
7.150.000 TRY,7150000.0,menderes,21/10/2025,3 + 1,1.0,"213 m2 
/ 185 m2",4 Storey,Raised Ground,35 at Age,Combi Boiler,Condominium,Not Furnished,Owner
6.100.000 TRY,6100000.0,yildiz,22/09/2025,2 + 1,2.0,"105 m2 
/ 95 m2",10 Storey,Top,New Property,Combi Boiler,Floor Easement,Not Furnished,Tenanted
3.195.000 TRY,3195000.0,menderes,22/10/2025,2 + 1,1.0,"75 m2 
/ 65 m2",4 Storey,2,6 at Age,Combi Boiler,Condominium,Furnished,Empty
7.150.000 TRY,7150000.0,camlik,25/09/2025,3 + 1,2.0,"130 m2 
/ 120 m2",4 Storey,1,1 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
4.100.000 TRY,4100000.0,goksu,11/10/2025,2 + 1,2.0,"97 m2 
/ 94 m2",4 Storey,Middle,New Property,Combi Boiler,Floor Easement,Not Furnished,
2.750.000 TRY,2750000.0,hurriyet,04/09/2025,3 + 1,1.0,"115 m2 
/ 110 m2",2 Storey,Raised Ground,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
3.500.000 TRY,3500000.0,adatepe,06/10/2025,2 + 1,2.0,"100 m2 
/ 95 m2",4 Storey,4,5 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
2.425.000 TRY,2425000.0,ataturk,21/10/2025,1 + 1,1.0,"45 m2 
/ 40 m2",2 Storey,Raised Ground,4 at Age,Combi Boiler,Floor Easement,Furnished,Empty
4.700.000 TRY,4700000.0,efeler,22/10/2025,2 + 1,1.0,"100 m2 
/ 90 m2",5 Storey,3,40 at Age,Air Conditioning,Floor Easement,Not Furnished,Owner
4.450.000 TRY,4450000.0,yildiz,28/07/2025,2 + 1,1.0,"90 m2 
/ 85 m2",12 Storey,2,1 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
2.900.000 TRY,2900000.0,inonu,04/09/2025,1 + 1,1.0,"75 m2 
/ 65 m2",4 Storey,2,6 at Age,Floor Heater,Floor Easement,Not Furnished,Owner
