Price,Bathrooms,Number_Of_Floors,Floor,Property_Age,Location_akincilar,Location_ataturk,Location_baris,Location_buca-koop,Location_camlikule,Location_efeler,Location_firat,Location_goksu,Location_hurriyet,Location_inonu,Location_izkent,Location_kozagac,Location_kurucesme,Location_laleli,Location_menderes,Location_other,Location_yaylacik,Location_yenigun,Location_yesilbaglar,Location_yigitler,Location_yildiz,Listing_Age_Days,Posted_Month,Rooms,Halls,Net_m2,Heating_Type_Air Conditioning,Heating_Type_Central,Heating_Type_Combi Boiler,Heating_Type_Underfloor Heating,Title_Condominium,Title_Floor Easement,Furnishing_Status_Furnished,Furnishing_Status_Not Furnished,Usage_Status_Empty,Usage_Status_Owner,Usage_Status_Tenanted
3400000.0,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,10,1,1,50,0,0,0,1,1,0,0,1,1,0,0
7150000.0,1,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,10,3,1,185,0,0,1,0,1,0,0,1,0,1,0
6100000.0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,9,2,1,95,0,0,1,0,0,1,0,1,0,0,1
3195000.0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,10,2,1,65,0,0,1,0,1,0,1,0,1,0,0
7150000.0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,9,3,1,120,0,0,1,0,0,1,0,1,1,0,0
4100000.0,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,2,1,94,0,0,1,0,0,1,0,1,1,0,0
2750000.0,1,2,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51,9,3,1,110,0,0,1,0,0,1,0,1,1,0,0
3500000.0,2,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,2,1,95,0,0,1,0,0,1,0,1,1,0,0
2425000.0,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,1,1,40,0,0,1,0,0,1,1,0,1,0,0
4700000.0,1,5,3,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,1,90,1,0,0,0,0,1,0,1,0,1,0
4450000.0,1,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,7,2,1,85,0,0,1,0,0,1,0,1,0,0,1
2900000.0,1,4,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,9,1,1,65,0,0,0,1,0,1,0,1,0,1,0
5650000.0,1,4,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,10,3,1,140,0,0,1,0,1,0,0,1,1,0,0
5100000.0,2,7,6,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,1,135,0,0,1,0,1,0,0,1,0,1,0
2700000.0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,9,1,1,45,0,0,1,0,0,1,0,1,1,0,0
3350000.0,1,4,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,10,2,1,90,0,0,1,0,0,1,0,1,1,0,0
2400000.0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,1,1,40,1,0,0,0,0,1,1,0,0,0,1
2720000.0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,10,1,1,36,0,0,1,0,0,1,1,0,1,0,0
3000000.0,1,11,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,10,1,1,45,0,0,0,1,0,1,1,0,0,1,0
4000000.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,10,2,1,80,0,0,1,0,0,1,0,1,1,0,0
4500000.0,1,3,3,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,1,120,0,0,1,0,1,0,0,1,0,1,0
2750000.0,1,4,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,1,98,0,0,1,0,1,0,0,1,1,0,0
3695000.0,1,5,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,9,3,1,130,0,0,1,0,0,1,0,1,0,0,1
1415000.0,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,2,1,70,0,0,1,0,0,1,1,0,1,0,0
2999999.0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,9,2,1,65,0,0,1,0,0,1,0,1,1,0,0
2380000.0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,1,1,50,1,0,0,0,1,0,1,0,1,0,0
2475000.0,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,1,1,57,0,0,1,0,0,1,1,0,1,0,0
2150000.0,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,10,1,1,50,1,0,0,0,0,1,1,0,1,0,0
3750000.0,1,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,2,1,70,1,0,0,0,0,1,1,0,1,0,0
3500000.0,1,4,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,9,3,1,110,0,0,1,0,0,1,0,1,0,1,0
1360000.0,1,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,1,1,40,0,0,1,0,0,1,1,0,1,0,0
4000000.0,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,10,3,1,101,0,0,1,0,0,1,0,1,0,0,1
2400000.0,1,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,1,1,45,1,0,0,0,0,1,1,0,0,0,1
1115000.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,10,1,1,50,1,0,0,0,0,1,1,0,1,0,0
1100000.0,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,1,1,51,0,0,1,0,0,1,1,0,1,0,0
1440000.0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,2,1,80,0,0,1,0,1,0,1,0,1,0,0
4650000.0,2,4,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,8,3,1,135,0,0,1,0,0,1,0,1,1,0,0
3599999.0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,10,2,1,80,0,0,1,0,1,0,0,1,0,1,0
3250000.0,1,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,10,1,1,59,1,0,0,0,1,0,0,1,1,0,0
2550000.0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,1,55,1,0,0,0,0,1,1,0,0,0,1
2950000.0,2,5,4,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,1,120,0,0,1,0,1,0,0,1,0,1,0
2300000.0,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,1,1,50,0,0,1,0,1,0,1,0,0,0,1
6800000.0,1,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,3,1,130,0,0,1,0,1,0,0,1,1,0,0
4900000.0,1,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,10,2,1,100,0,0,1,0,0,1,0,1,1,0,0
3700000.0,1,5,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,9,2,1,75,0,0,1,0,0,1,0,1,0,1,0
3150000.0,1,3,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,2,1,65,0,0,1,0,0,1,0,1,1,0,0
4150000.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10,2,1,75,0,0,1,0,1,0,0,1,0,0,1
2800000.0,1,2,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,2,1,70,0,0,1,0,1,0,1,0,1,0,0
